Symbol	Protein_name	Chromosome	Uniprot	Ensembl_x	Ensembl_y	Family
FOXL1	forkhead box L1	16q24.1	Q12952	ENSG00000176678	ENSG00000176678	Fork_head
FOXL2	forkhead box L2	3q22.3	P58012	ENSG00000183770	ENSG00000183770	Fork_head
FOXM1	forkhead box M1	12p13.33	Q08050	ENSG00000111206	ENSG00000111206	Fork_head
FOXN1	forkhead box N1	17q11.2	O15353	ENSG00000109101	ENSG00000109101	Fork_head
FOXN2	forkhead box N2	2p16.3	P32314	ENSG00000170802	ENSG00000170802	Fork_head
FOXN3	forkhead box N3	14q31.3-q32.11	O00409	ENSG00000053254	ENSG00000053254	Fork_head
FOXN4	forkhead box N4	12q24.11	Q96NZ1	ENSG00000139445	ENSG00000139445	Fork_head
FOXO1	forkhead box O1	13q14.11	Q12778	ENSG00000150907	ENSG00000150907	Fork_head
FOXO3	forkhead box O3	6q21	O43524	ENSG00000118689	ENSG00000118689	Fork_head
FOXO4	forkhead box O4	Xq13.1	P98177	ENSG00000184481	ENSG00000184481	Fork_head
FOXO6	forkhead box O6	1p34.2	A8MYZ6	ENSG00000204060	ENSG00000204060	Fork_head
FOXP1	forkhead box P1	3p13	Q9H334	ENSG00000114861	ENSG00000114861	Fork_head
FOXP2	forkhead box P2	7q31.1	O15409	ENSG00000128573	ENSG00000128573	Fork_head
FOXP3	forkhead box P3	Xp11.23	Q9BZS1	ENSG00000049768	ENSG00000049768	Fork_head
FOXP4	forkhead box P4	6p21.1	Q8IVH2	ENSG00000137166	ENSG00000137166	Fork_head
FOXQ1	forkhead box Q1	6p25.3	Q9C009	ENSG00000164379	ENSG00000164379	Fork_head
FOXR1	forkhead box R1	11q23.3	Q6PIV2	ENSG00000176302	ENSG00000176302	Fork_head
FOXR2	forkhead box R2	Xp11.21	Q6PJQ5	ENSG00000189299	ENSG00000189299	Fork_head
FOXS1	forkhead box S1	20q11.21	O43638	ENSG00000179772	ENSG00000179772	Fork_head
GABPA	GA binding protein transcription factor subunit alpha	21q21.3	Q06546	ENSG00000154727	ENSG00000154727	ETS
GABPB1	GA binding protein transcription factor subunit beta 1	15q21.2	Q06547	ENSG00000104064	ENSG00000104064	Others
GABPB2	GA binding protein transcription factor subunit beta 2	1q21.3	Q8TAK5	ENSG00000143458	ENSG00000143458	Others
GATA1	GATA binding protein 1	Xp11.23	P15976	ENSG00000102145	ENSG00000102145	zf-GATA
GATA2	GATA binding protein 2	3q21.3	P23769	ENSG00000179348	ENSG00000179348	zf-GATA
GATA3	GATA binding protein 3	10p14	P23771	ENSG00000107485	ENSG00000107485	zf-GATA
GATA4	GATA binding protein 4	8p23.1	P43694	ENSG00000136574	ENSG00000136574	zf-GATA
GATA5	GATA binding protein 5	20q13.33	Q9BWX5	ENSG00000130700	ENSG00000130700	zf-GATA
GATA6	GATA binding protein 6	18q11.2	Q92908	ENSG00000141448	ENSG00000141448	zf-GATA
GATAD1	GATA zinc finger domain containing 1	7q21.2	Q8WUU5	ENSG00000157259	ENSG00000157259	Others
GATAD2A	GATA zinc finger domain containing 2A	19p13.11	Q86YP4	ENSG00000167491	ENSG00000167491	zf-GATA
GATAD2B	GATA zinc finger domain containing 2B	1q21.3	Q8WXI9	ENSG00000143614	ENSG00000143614	zf-GATA
GBX1	gastrulation brain homeobox 1	7q36.1	Q14549	ENSG00000164900	ENSG00000164900	Homeobox
GBX2	gastrulation brain homeobox 2	2q37.2	P52951	ENSG00000168505	ENSG00000168505	Homeobox
GCFC2	GC-rich sequence DNA-binding factor 2	2p12	P16383	ENSG00000005436	ENSG00000005436	GCFC
GCM1	glial cells missing transcription factor 1	6p12.1	Q9NP62	ENSG00000137270	ENSG00000137270	GCM
GCM2	glial cells missing transcription factor 2	6p24.2	O75603	ENSG00000124827	ENSG00000124827	GCM
GFI1	growth factor independent 1 transcriptional repressor	1p22.1	Q99684	ENSG00000162676	ENSG00000162676	zf-C2H2
GFI1B	growth factor independent 1B transcriptional repressor	9q34.13	Q5VTD9	ENSG00000165702	ENSG00000165702	zf-C2H2
GLI1	GLI family zinc finger 1	12q13.3	P08151	ENSG00000111087	ENSG00000111087	zf-C2H2
GLI2	GLI family zinc finger 2	2q14.2	P10070	ENSG00000074047	ENSG00000074047	zf-C2H2
GLI3	GLI family zinc finger 3	7p14.1	P10071	ENSG00000106571	ENSG00000106571	zf-C2H2
GLI4	GLI family zinc finger 4	8q24.3	P10075	ENSG00000250571	ENSG00000250571	zf-C2H2
GLIS1	GLIS family zinc finger 1	1p32.3	Q8NBF1	ENSG00000174332	ENSG00000174332	zf-C2H2
GLIS2	GLIS family zinc finger 2	16p13.3	Q9BZE0	ENSG00000126603	ENSG00000126603	zf-C2H2
GLIS3	GLIS family zinc finger 3	9p24.2	Q8NEA6	ENSG00000107249	ENSG00000107249	zf-C2H2
GLMP	glycosylated lysosomal membrane protein	1q22	Q8WWB7	ENSG00000198715	ENSG00000198715	NCU-G1
GMEB1	glucocorticoid modulatory element binding protein 1	1p35.3	Q9Y692	ENSG00000162419	ENSG00000162419	SAND
GMEB2	glucocorticoid modulatory element binding protein 2	20q13.33	Q9UKD1	ENSG00000101216	ENSG00000101216	SAND
GON4L	gon-4 like	1q22	Q3T8J9	ENSG00000116580	ENSG00000116580	Others
GPBP1	GC-rich promoter binding protein 1	5q11.2	Q86WP2	ENSG00000062194	ENSG00000062194	Others
GPBP1L1	GC-rich promoter binding protein 1 like 1	1p34.1	Q9HC44	ENSG00000159592	ENSG00000159592	Others
GRHL1	grainyhead like transcription factor 1	2p25.1	Q9NZI5	ENSG00000134317	ENSG00000134317	CP2
GRHL2	grainyhead like transcription factor 2	8q22.3	Q6ISB3	ENSG00000083307	ENSG00000083307	CP2
GRHL3	grainyhead like transcription factor 3	1p36.11	Q8TE85	ENSG00000158055	ENSG00000158055	CP2
GSC	goosecoid homeobox	14q32.13	P56915	ENSG00000133937	ENSG00000133937	Homeobox
GSC2	goosecoid homeobox 2	22q11.21	O15499	ENSG00000063515	ENSG00000063515	Homeobox
GSX1	GS homeobox 1	13q12.2	Q9H4S2	ENSG00000169840	ENSG00000169840	Homeobox
GSX2	GS homeobox 2	4q12	Q9BZM3	ENSG00000180613	ENSG00000180613	Homeobox
GTF2I	general transcription factor IIi	7q11.23	P78347	ENSG00000263001	ENSG00000263001	GTF2I
GTF2IRD1	GTF2I repeat domain containing 1	7q11.23	Q9UHL9	ENSG00000006704	ENSG00000006704	GTF2I
GTF2IRD2	GTF2I repeat domain containing 2	7q11.23	Q86UP8	ENSG00000196275	ENSG00000196275	GTF2I
GTF2IRD2B	GTF2I repeat domain containing 2B	7q11.23	Q6EKJ0	ENSG00000174428	ENSG00000174428	GTF2I
GTF3A	general transcription factor IIIA	13q12.2	Q92664	ENSG00000122034	ENSG00000122034	zf-C2H2
GZF1	GDNF inducible zinc finger protein 1	20p11.21	Q9H116	ENSG00000125812	ENSG00000125812	ZBTB
HAND1	heart and neural crest derivatives expressed 1	5q33.2	O96004	ENSG00000113196	ENSG00000113196	bHLH
HAND2	heart and neural crest derivatives expressed 2	4q34.1	P61296	ENSG00000164107	ENSG00000164107	bHLH
HBP1	HMG-box transcription factor 1	7q22.3	O60381	ENSG00000105856	ENSG00000105856	HMG
HDX	highly divergent homeobox	Xq21.1	Q7Z353	ENSG00000165259	ENSG00000165259	Homeobox
HELT	helt bHLH transcription factor	4q35.1	A6NFD8	ENSG00000187821	ENSG00000187821	bHLH
HES1	hes family bHLH transcription factor 1	3q29	Q14469	ENSG00000114315	ENSG00000114315	bHLH
HES2	hes family bHLH transcription factor 2	1p36.31	Q9Y543	ENSG00000069812	ENSG00000069812	bHLH
HES3	hes family bHLH transcription factor 3	1p36.31	Q5TGS1	ENSG00000173673	ENSG00000173673	bHLH
HES4	hes family bHLH transcription factor 4	1p36.33	Q9HCC6	ENSG00000188290	ENSG00000188290	bHLH
HES5	hes family bHLH transcription factor 5	1p36.32	Q5TA89	ENSG00000197921	ENSG00000197921	bHLH
HES6	hes family bHLH transcription factor 6	2q37.3	Q96HZ4	ENSG00000144485	ENSG00000144485	bHLH
HES7	hes family bHLH transcription factor 7	17p13.1	Q9BYE0	ENSG00000179111	ENSG00000179111	bHLH
HESX1	HESX homeobox 1	3p14.3	Q9UBX0	ENSG00000163666	ENSG00000163666	Homeobox
HEY1	hes related family bHLH transcription factor with YRPW motif 1	8q21.13	Q9Y5J3	ENSG00000164683	ENSG00000164683	bHLH
HEY2	hes related family bHLH transcription factor with YRPW motif 2	6q22.31	Q9UBP5	ENSG00000135547	ENSG00000135547	bHLH
HEYL	hes related family bHLH transcription factor with YRPW motif like	1p34.2	Q9NQ87	ENSG00000163909	ENSG00000163909	bHLH
HHEX	hematopoietically expressed homeobox	10q23.33	Q03014	ENSG00000152804	ENSG00000152804	Homeobox
HIC1	HIC ZBTB transcriptional repressor 1	17p13.3	Q14526	ENSG00000177374	ENSG00000177374	ZBTB
HIC2	HIC ZBTB transcriptional repressor 2	22q11.21	Q96JB3	ENSG00000169635	ENSG00000169635	ZBTB
HIF1A	hypoxia inducible factor 1 subunit alpha	14q23.2	Q16665	ENSG00000100644	ENSG00000100644	Others
HIF3A	hypoxia inducible factor 3 subunit alpha	19q13.32	Q9Y2N7	ENSG00000124440	ENSG00000124440	bHLH
HINFP	histone H4 transcription factor	11q23.3	Q9BQA5	ENSG00000172273	ENSG00000172273	zf-C2H2
HIVEP1	HIVEP zinc finger 1	6p24.1	P15822	ENSG00000095951	ENSG00000095951	zf-C2H2
HIVEP2	HIVEP zinc finger 2	6q24.2	P31629	ENSG00000010818	ENSG00000010818	zf-C2H2
HIVEP3	HIVEP zinc finger 3	1p34.2	Q5T1R4	ENSG00000127124	ENSG00000127124	zf-C2H2
HLF	HLF transcription factor, PAR bZIP family member	17q22	Q16534	ENSG00000108924	ENSG00000108924	TF_bZIP
HLX	H2.0 like homeobox	1q41	Q14774	ENSG00000136630	ENSG00000136630	Homeobox
HMBOX1	homeobox containing 1	8p21.1-p12	Q6NT76	ENSG00000147421	ENSG00000147421	Homeobox
HMG20A	high mobility group 20A	15q24.3	Q9NP66	ENSG00000140382	ENSG00000140382	HMG
HMG20B	high mobility group 20B	19p13.3	Q9P0W2	ENSG00000064961	ENSG00000064961	HMG
HMGA1	high mobility group AT-hook 1	6p21.31	P17096	ENSG00000137309	ENSG00000137309	HMGA
HMGA2	high mobility group AT-hook 2	12q14.3	P52926	ENSG00000149948	ENSG00000149948	HMGA
HMGB1	high mobility group box 1	13q12.3	P09429	ENSG00000189403	ENSG00000189403	HMG
HMGB2	high mobility group box 2	4q34.1	P26583	ENSG00000164104	ENSG00000164104	HMG
HMGB3	high mobility group box 3	Xq28	O15347	ENSG00000029993	ENSG00000029993	HMG
HMGB4	high mobility group box 4	1p35.1	Q8WW32	ENSG00000176256	ENSG00000176256	HMG
HMGXB3	HMG-box containing 3	5q32	Q12766	ENSG00000113716	ENSG00000113716	HMG
HMGXB4	HMG-box containing 4	22q12.3	Q9UGU5	ENSG00000100281	ENSG00000100281	HMG
HMX1	H6 family homeobox 1	4p16.1	Q9NP08	ENSG00000215612	ENSG00000215612	Homeobox
HMX2	H6 family homeobox 2	10q26.13	A2RU54	ENSG00000188816	ENSG00000188816	Homeobox
HMX3	H6 family homeobox 3	10q26.13	A6NHT5	ENSG00000188620	ENSG00000188620	Homeobox
HNF1A	HNF1 homeobox A	12q24.31	P20823	ENSG00000135100	ENSG00000135100	Homeobox
HNF1B	HNF1 homeobox B	17q12	P35680	ENSG00000275410	ENSG00000275410	Homeobox
HNF4A	hepatocyte nuclear factor 4 alpha	20q13.12	P41235	ENSG00000101076	ENSG00000101076	RXR-like
HNF4G	hepatocyte nuclear factor 4 gamma	8q21.13	Q14541	ENSG00000164749	ENSG00000164749	RXR-like
HOMEZ	homeobox and leucine zipper encoding	14q11.2	Q8IX15	ENSG00000215271	ENSG00000215271	Homeobox
HOPX	HOP homeobox	4q12	Q9BPY8	ENSG00000171476	ENSG00000171476	Homeobox
HOXA1	homeobox A1	7p15.2	P49639	ENSG00000105991	ENSG00000105991	Homeobox
HOXA2	homeobox A2	7p15.2	O43364	ENSG00000105996	ENSG00000105996	Homeobox
HOXA3	homeobox A3	7p15.2	O43365	ENSG00000105997	ENSG00000105997	Homeobox
HOXA4	homeobox A4	7p15.2	Q00056	ENSG00000197576	ENSG00000197576	Homeobox
HOXA5	homeobox A5	7p15.2	P20719	ENSG00000106004	ENSG00000106004	Homeobox
HOXA6	homeobox A6	7p15.2	P31267	ENSG00000106006	ENSG00000106006	Homeobox
HOXA7	homeobox A7	7p15.2	P31268	ENSG00000122592	ENSG00000122592	Homeobox
HOXA9	homeobox A9	7p15.2	P31269	ENSG00000078399	ENSG00000078399	Homeobox
HOXA10	homeobox A10	7p15.2	P31260	ENSG00000253293	ENSG00000253293	Homeobox
HOXA11	homeobox A11	7p15.2	P31270	ENSG00000005073	ENSG00000005073	Homeobox
HOXA13	homeobox A13	7p15.2	P31271	ENSG00000106031	ENSG00000106031	Homeobox
HOXB1	homeobox B1	17q21.32	P14653	ENSG00000120094	ENSG00000120094	Homeobox
HOXB2	homeobox B2	17q21.32	P14652	ENSG00000173917	ENSG00000173917	Homeobox
HOXB3	homeobox B3	17q21.32	P14651	ENSG00000120093	ENSG00000120093	Homeobox
HOXB4	homeobox B4	17q21.32	P17483	ENSG00000182742	ENSG00000182742	Homeobox
HOXB5	homeobox B5	17q21.32	P09067	ENSG00000120075	ENSG00000120075	Homeobox
HOXB6	homeobox B6	17q21.32	P17509	ENSG00000108511	ENSG00000108511	Homeobox
HOXB7	homeobox B7	17q21.32	P09629	ENSG00000260027	ENSG00000260027	Homeobox
HOXB8	homeobox B8	17q21.32	P17481	ENSG00000120068	ENSG00000120068	Homeobox
HOXB9	homeobox B9	17q21.32	P17482	ENSG00000170689	ENSG00000170689	Homeobox
HOXB13	homeobox B13	17q21.32	Q92826	ENSG00000159184	ENSG00000159184	Homeobox
HOXC4	homeobox C4	12q13.13	P09017	ENSG00000198353	ENSG00000198353	Homeobox
HOXC5	homeobox C5	12q13.13	Q00444	ENSG00000172789	ENSG00000172789	Homeobox
HOXC6	homeobox C6	12q13.13	P09630	ENSG00000197757	ENSG00000197757	Homeobox
HOXC8	homeobox C8	12q13.13	P31273	ENSG00000037965	ENSG00000037965	Homeobox
HOXC9	homeobox C9	12q13.13	P31274	ENSG00000180806	ENSG00000180806	Homeobox
HOXC10	homeobox C10	12q13.13	Q9NYD6	ENSG00000180818	ENSG00000180818	Homeobox
HOXC11	homeobox C11	12q13.13	O43248	ENSG00000123388	ENSG00000123388	Homeobox
HOXC12	homeobox C12	12q13.13	P31275	ENSG00000123407	ENSG00000123407	Homeobox
HOXC13	homeobox C13	12q13.13	P31276	ENSG00000123364	ENSG00000123364	Homeobox
HOXD1	homeobox D1	2q31.1	Q9GZZ0	ENSG00000128645	ENSG00000128645	Homeobox
HOXD3	homeobox D3	2q31.1	P31249	ENSG00000128652	ENSG00000128652	Homeobox
HOXD4	homeobox D4	2q31.1	P09016	ENSG00000170166	ENSG00000170166	Homeobox
HOXD8	homeobox D8	2q31.1	P13378	ENSG00000175879	ENSG00000175879	Homeobox
HOXD9	homeobox D9	2q31.1	P28356	ENSG00000128709	ENSG00000128709	Homeobox
HOXD10	homeobox D10	2q31.1	P28358	ENSG00000128710	ENSG00000128710	Homeobox
HOXD11	homeobox D11	2q31.1	P31277	ENSG00000128713	ENSG00000128713	Homeobox
HOXD12	homeobox D12	2q31.1	P35452	ENSG00000170178	ENSG00000170178	Homeobox
HOXD13	homeobox D13	2q31.1	P35453	ENSG00000128714	ENSG00000128714	Homeobox
HSF1	heat shock transcription factor 1	8q24.3	Q00613	ENSG00000185122	ENSG00000185122	HSF
HSF2	heat shock transcription factor 2	6q22.31	Q03933	ENSG00000025156	ENSG00000025156	HSF
HSF4	heat shock transcription factor 4	16q22.1	Q9ULV5	ENSG00000102878	ENSG00000102878	HSF
HSF5	heat shock transcription factor 5	17q22	Q4G112	ENSG00000176160	ENSG00000176160	HSF
HSFX1	heat shock transcription factor family, X-linked 1	Xq28	Q9UBD0	ENSG00000171116	ENSG00000171116	HSF
HSFX2	heat shock transcription factor family, X-linked 2	Xq28	Q9UBD0	ENSG00000268738	ENSG00000268738	HSF
HSFX3	heat shock transcription factor family, X-linked member 3	Xq28	A0A1B0GWH4	ENSG00000283697	ENSG00000283697	HSF
HSFX4	heat shock transcription factor family, X-linked member 4	Xq28	A0A1B0GTS1	ENSG00000283463	ENSG00000283463	HSF
HSFY1	heat shock transcription factor Y-linked 1	Yq11.222	Q96LI6	ENSG00000172468	ENSG00000172468	HSF
HSFY2	heat shock transcription factor Y-linked 2	Yq11.222	Q96LI6	ENSG00000169953	ENSG00000169953	HSF
ID1	inhibitor of DNA binding 1, HLH protein	20q11.21	P41134	ENSG00000125968	ENSG00000125968	bHLH
ID2	inhibitor of DNA binding 2	2p25.1	Q02363	ENSG00000115738	ENSG00000115738	bHLH
ID3	inhibitor of DNA binding 3, HLH protein	1p36.12	Q02535	ENSG00000117318	ENSG00000117318	bHLH
ID4	inhibitor of DNA binding 4, HLH protein	6p22.3	P47928	ENSG00000172201	ENSG00000172201	bHLH
IKZF1	IKAROS family zinc finger 1	7p12.2	Q13422	ENSG00000185811	ENSG00000185811	zf-C2H2
IKZF2	IKAROS family zinc finger 2	2q34	Q9UKS7	ENSG00000030419	ENSG00000030419	zf-C2H2
IKZF3	IKAROS family zinc finger 3	17q12-q21.1	Q9UKT9	ENSG00000161405	ENSG00000161405	zf-C2H2
IKZF4	IKAROS family zinc finger 4	12q13.2	Q9H2S9	ENSG00000123411	ENSG00000123411	zf-C2H2
IKZF5	IKAROS family zinc finger 5	10q26.13	Q9H5V7	ENSG00000095574	ENSG00000095574	zf-C2H2
INSM1	INSM transcriptional repressor 1	20p11.23	Q01101	ENSG00000173404	ENSG00000173404	zf-C2H2
INSM2	INSM transcriptional repressor 2	14q13.2	Q96T92	ENSG00000168348	ENSG00000168348	zf-C2H2
IRF1	interferon regulatory factor 1	5q31.1	P10914	ENSG00000125347	ENSG00000125347	IRF
IRF2	interferon regulatory factor 2	4q35.1	P14316	ENSG00000168310	ENSG00000168310	IRF
IRF3	interferon regulatory factor 3	19q13.33	Q14653	ENSG00000126456	ENSG00000126456	IRF
IRF4	interferon regulatory factor 4	6p25.3	Q15306	ENSG00000137265	ENSG00000137265	IRF
IRF5	interferon regulatory factor 5	7q32.1	Q13568	ENSG00000128604	ENSG00000128604	IRF
IRF6	interferon regulatory factor 6	1q32.2	O14896	ENSG00000117595	ENSG00000117595	IRF
IRF7	interferon regulatory factor 7	11p15.5	Q92985	ENSG00000185507	ENSG00000185507	IRF
IRF8	interferon regulatory factor 8	16q24.1	Q02556	ENSG00000140968	ENSG00000140968	IRF
IRF9	interferon regulatory factor 9	14q12	Q00978	ENSG00000213928	ENSG00000213928	IRF
IRX1	iroquois homeobox 1	5p15.33	P78414	ENSG00000170549	ENSG00000170549	Homeobox
IRX2	iroquois homeobox 2	5p15.33	Q9BZI1	ENSG00000170561	ENSG00000170561	Homeobox
IRX3	iroquois homeobox 3	16q12.2	P78415	ENSG00000177508	ENSG00000177508	Homeobox
IRX4	iroquois homeobox 4	5p15.33	P78413	ENSG00000113430	ENSG00000113430	Homeobox
IRX5	iroquois homeobox 5	16q12.2	P78411	ENSG00000176842	ENSG00000176842	Homeobox
IRX6	iroquois homeobox 6	16q12.2	P78412	ENSG00000159387	ENSG00000159387	Homeobox
ISL1	ISL LIM homeobox 1	5q11.1	P61371	ENSG00000016082	ENSG00000016082	Homeobox
ISL2	ISL LIM homeobox 2	15q24.3	Q96A47	ENSG00000159556	ENSG00000159556	Homeobox
ISX	intestine specific homeobox	22q12.3	Q2M1V0	ENSG00000175329	ENSG00000175329	Homeobox
JARID2	jumonji and AT-rich interaction domain containing 2	6p22.3	Q92833	ENSG00000008083	ENSG00000008083	ARID
JAZF1	JAZF zinc finger 1	7p15.2-p15.1	Q86VZ6	ENSG00000153814	ENSG00000153814	zf-C2H2
JDP2	Jun dimerization protein 2	14q24.3	Q8WYK2	ENSG00000140044	ENSG00000140044	TF_bZIP
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	1p32.1	P05412	ENSG00000177606	ENSG00000177606	TF_bZIP
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	19p13.13	P17275	ENSG00000171223	ENSG00000171223	TF_bZIP
JUND	JunD proto-oncogene, AP-1 transcription factor subunit	19p13.11	P17535	ENSG00000130522	ENSG00000130522	TF_bZIP
KHSRP	KH-type splicing regulatory protein	19p13.3	Q92945	ENSG00000088247	ENSG00000088247	Others
KIAA1549	KIAA1549	7q34	Q9HCM3	ENSG00000122778	ENSG00000122778	Others
KLF1	Kruppel like factor 1	19p13.13	Q13351	ENSG00000105610	ENSG00000105610	zf-C2H2
KLF2	Kruppel like factor 2	19p13.11	Q9Y5W3	ENSG00000127528	ENSG00000127528	zf-C2H2
KLF3	Kruppel like factor 3	4p14	P57682	ENSG00000109787	ENSG00000109787	zf-C2H2
KLF4	Kruppel like factor 4	9q31.2	O43474	ENSG00000136826	ENSG00000136826	zf-C2H2
KLF5	Kruppel like factor 5	13q22.1	Q13887	ENSG00000102554	ENSG00000102554	zf-C2H2
KLF6	Kruppel like factor 6	10p15.2	Q99612	ENSG00000067082	ENSG00000067082	zf-C2H2
KLF7	Kruppel like factor 7	2q33.3	O75840	ENSG00000118263	ENSG00000118263	zf-C2H2
KLF8	Kruppel like factor 8	Xp11.21	O95600	ENSG00000102349	ENSG00000102349	zf-C2H2
KLF9	Kruppel like factor 9	9q21.12	Q13886	ENSG00000119138	ENSG00000119138	zf-C2H2
KLF10	Kruppel like factor 10	8q22.3	Q13118	ENSG00000155090	ENSG00000155090	zf-C2H2
KLF11	Kruppel like factor 11	2p25.1	O14901	ENSG00000172059	ENSG00000172059	zf-C2H2
KLF12	Kruppel like factor 12	13q22.1	Q9Y4X4	ENSG00000118922	ENSG00000118922	zf-C2H2
KLF13	Kruppel like factor 13	15q13.3	Q9Y2Y9	ENSG00000169926	ENSG00000169926	zf-C2H2
KLF14	Kruppel like factor 14	7q32.2	Q8TD94	ENSG00000266265	ENSG00000266265	zf-C2H2
KLF15	Kruppel like factor 15	3q21.3	Q9UIH9	ENSG00000163884	ENSG00000163884	zf-C2H2
KLF16	Kruppel like factor 16	19p13.3	Q9BXK1	ENSG00000129911	ENSG00000129911	zf-C2H2
KLF17	Kruppel like factor 17	1p34.1	Q5JT82	ENSG00000171872	ENSG00000171872	zf-C2H2
KLF18	Kruppel like factor 18	1p34.1	A0A0U1RQI7	ENSG00000283039	ENSG00000283039	zf-C2H2
KMT2C	lysine methyltransferase 2C	7q36.1	Q8NEZ4	ENSG00000055609	ENSG00000055609	HMG
L3MBTL1	L3MBTL histone methyl-lysine binding protein 1	20q13.12	Q9Y468	ENSG00000185513	ENSG00000185513	zf-C2HC
L3MBTL3	L3MBTL histone methyl-lysine binding protein 3	6q23.1	Q96JM7	ENSG00000198945	ENSG00000198945	Others
L3MBTL4	L3MBTL histone methyl-lysine binding protein 4	18p11.31	Q8NA19	ENSG00000154655	ENSG00000154655	zf-C2HC
LBX1	ladybird homeobox 1	10q24.32	P52954	ENSG00000138136	ENSG00000138136	Homeobox
LBX2	ladybird homeobox 2	2p13.1	Q6XYB7	ENSG00000179528	ENSG00000179528	Homeobox
LCOR	ligand dependent nuclear receptor corepressor	10q24.1	Q96JN0	ENSG00000196233	ENSG00000196233	HTH
LCORL	ligand dependent nuclear receptor corepressor like	4p15.31	Q8N3X6	ENSG00000178177	ENSG00000178177	HTH
LEF1	lymphoid enhancer binding factor 1	4q25	Q9UJU2	ENSG00000138795	ENSG00000138795	HMG
LEUTX	leucine twenty homeobox	19q13.2	A8MZ59	ENSG00000213921	ENSG00000213921	Homeobox
LHX1	LIM homeobox 1	17q12	P48742	ENSG00000273706	ENSG00000273706	Homeobox
LHX2	LIM homeobox 2	9q33.3	P50458	ENSG00000106689	ENSG00000106689	Homeobox
LHX3	LIM homeobox 3	9q34.3	Q9UBR4	ENSG00000107187	ENSG00000107187	Homeobox
LHX4	LIM homeobox 4	1q25.2	Q969G2	ENSG00000121454	ENSG00000121454	Homeobox
LHX5	LIM homeobox 5	12q24.13	Q9H2C1	ENSG00000089116	ENSG00000089116	Homeobox
LHX6	LIM homeobox 6	9q33.2	Q9UPM6	ENSG00000106852	ENSG00000106852	Homeobox
LHX8	LIM homeobox 8	1p31.1	Q68G74	ENSG00000162624	ENSG00000162624	Homeobox
LHX9	LIM homeobox 9	1q31.3	Q9NQ69	ENSG00000143355	ENSG00000143355	Homeobox
LIN28A	lin-28 homolog A	1p36.11	Q9H9Z2	ENSG00000131914	ENSG00000131914	CSD
LIN28B	lin-28 homolog B	6q16.3-q21	Q6ZN17	ENSG00000187772	ENSG00000187772	CSD
LITAF	lipopolysaccharide induced TNF factor	16p13.13	Q99732	ENSG00000189067	ENSG00000189067	zf-LITAF-like
LMX1A	LIM homeobox transcription factor 1 alpha	1q23.3	Q8TE12	ENSG00000162761	ENSG00000162761	Homeobox
LMX1B	LIM homeobox transcription factor 1 beta	9q33.3	O60663	ENSG00000136944	ENSG00000136944	Homeobox
LRRFIP1	LRR binding FLII interacting protein 1	2q37.3	Q32MZ4	ENSG00000124831	ENSG00000124831	LRRFIP
LRRFIP2	LRR binding FLII interacting protein 2	3p22.2	Q9Y608	ENSG00000093167	ENSG00000093167	LRRFIP
LTF	lactotransferrin	3p21.31	P02788	ENSG00000012223	ENSG00000012223	Others
LYAR	Ly1 antibody reactive	4p16.3	Q9NX58	ENSG00000145220	ENSG00000145220	Others
LYL1	LYL1 basic helix-loop-helix family member	19p13.13	P12980	ENSG00000104903	ENSG00000104903	bHLH
MAEL	maelstrom spermatogenic transposon silencer	1q24.1	Q96JY0	ENSG00000143194	ENSG00000143194	HMG
MAF	MAF bZIP transcription factor	16q23.2	O75444	ENSG00000178573	ENSG00000178573	TF_bZIP
MAF1	MAF1 homolog, negative regulator of RNA polymerase III	8q24.3	Q9H063	ENSG00000179632	ENSG00000179632	Others
MAFA	MAF bZIP transcription factor A	8q24.3	Q8NHW3	ENSG00000182759	ENSG00000182759	TF_bZIP
MAFB	MAF bZIP transcription factor B	20q12	Q9Y5Q3	ENSG00000204103	ENSG00000204103	TF_bZIP
MAFF	MAF bZIP transcription factor F	22q13.1	Q9ULX9	ENSG00000185022	ENSG00000185022	TF_bZIP
MAFG	MAF bZIP transcription factor G	17q25.3	O15525	ENSG00000197063	ENSG00000197063	TF_bZIP
MAFK	MAF bZIP transcription factor K	7p22.3	O60675	ENSG00000198517	ENSG00000198517	TF_bZIP
MAX	MYC associated factor X	14q23.3	P61244	ENSG00000125952	ENSG00000125952	bHLH
MAZ	MYC associated zinc finger protein	16p11.2	P56270	ENSG00000103495	ENSG00000103495	zf-C2H2
MBD1	methyl-CpG binding domain protein 1	18q21.1	Q9UIS9	ENSG00000141644	ENSG00000141644	MBD
MBD2	methyl-CpG binding domain protein 2	18q21.2	Q9UBB5	ENSG00000134046	ENSG00000134046	MBD
MBD3	methyl-CpG binding domain protein 3	19p13.3	O95983	ENSG00000071655	ENSG00000071655	MBD
MBD4	methyl-CpG binding domain 4, DNA glycosylase	3q21.3	O95243	ENSG00000129071	ENSG00000129071	MBD
MECOM	MDS1 and EVI1 complex locus	3q26.2	Q03112	ENSG00000085276	ENSG00000085276	zf-C2H2
MECP2	methyl-CpG binding protein 2	Xq28	P51608	ENSG00000169057	ENSG00000169057	MBD
MEF2A	myocyte enhancer factor 2A	15q26.3	Q02078	ENSG00000068305	ENSG00000068305	SRF
